source,target
2975,6384
2975,530
2975,1331
2975,9364
2975,532
532,6384
532,530
532,1331
532,9364
532,69597
532,68812
532,198
532,12688
532,3223
532,1894
532,43372
532,240275
532,12930
532,5049
532,975
532,35690
532,975133
532,19189
532,19654
532,68750
532,11514
532,98
532,9029
532,55155
6384,43068
6384,1174401
6384,18352
6384,5950
6384,6465
1331,79966
1331,3489
1331,75738
1331,92172
1331,38784
1331,584382
3223,67773
3223,776
3223,69122
3223,11870
3223,6213
3223,516
3223,18992
3223,9029
3223,925
3223,1894
3223,43372
3223,240275
3223,12930
3223,59222
3223,389
3223,97315
3223,8269
3223,8540
198,69597
198,68812
198,12688
198,4764
198,886
198,11084
198,33533
198,5587
198,199
198,200
198,5586
12930,94516
12930,10859
12930,12021
12930,39596
12930,880
12930,1893
12930,4169
12930,8695
12930,15276
6384,530
6384,1331
6384,9364
11514,7090
11514,8263
11514,13472
11514,2880
11514,6106
11514,47757
11514,156485
11514,154529
11514,98
11514,55155
79966,6968
79966,1184801
79966,79695
79966,3060
79966,3489
79966,75738
79966,92172
79966,38784
79966,12206
79966,10767
79966,33679
79966,28100
68812,5577
68812,9137
68812,20788
68812,11066
68812,83414
68812,95100
68812,73016
68812,21063
68812,9780
68812,155
68812,1225964
68812,2390
68812,21731
68812,11074
68812,3010238
68812,4430
68812,7420
68812,71425
68812,24047
68812,9788
68812,1206
68812,3391
35690,5049
35690,975
68750,975133
68750,19189
68750,19654
68750,85412
68750,32897
68750,52300
68750,6862
68750,591
68750,56117
68750,2464
68750,6861
68750,20959
68750,54819
68750,16217
68750,15899
68750,140101
68750,97260
68750,2395
5950,11150
5950,51792
5950,21399
5950,45396
5950,5795
5950,44393
5950,1205628
5950,40224
5950,12519
5950,64244
5950,14741
5950,1546280
5950,2778
5950,8949
5950,8951
5950,8963
98,10431
98,9642
98,65
98,5293
98,20173
98,18082
98,3897
98,59284
98,12217
98,5376
98,15900
19654,22227
19654,33488
19654,7137
19654,4253
19654,227
19654,7906
19654,5724
19654,1312995
6465,418
6465,209
6465,8349
6465,38026
6465,46423
6465,23958
6465,83051
6465,56824
6465,938771
5049,42641
5049,7026
5049,42642
5049,20243
5049,3894
5049,58663
5049,9140
5049,140525
5049,8654
5049,4452
5049,6905
5049,18181
19189,8336
19189,28410
19189,33654
19189,9205
19189,1058071
19189,191137
19189,39520
19189,1043792
19189,1158
19189,6941
19189,6065
19189,4512
19189,134
19189,204111
19189,16700
19189,29459
19189,1421349
19189,1184628
12688,1062
12688,2109
12688,6844
1894,19210
1894,20189
1894,10127
1894,8167
1894,77174
1894,30151
1894,18658
1894,171522
1894,944717
9029,5469
9029,1231
9029,79357
9029,10985
9029,3085
9029,3036
9029,93396
9029,1702438
9029,74056
9029,33394
9029,1667536
69597,15234
69597,28640
69597,15424
69597,56731
69597,3130
69597,91034
69597,171613
69597,46394
69597,1532
69597,54812
69597,58198
69597,56159
69597,12073
75738,1810
75738,29092
75738,9827
75738,57795
55155,55152
55155,55153
55155,16857
55155,44208
55155,55154
55155,84021
55155,1481176
55155,32031
55155,1481020
3489,51805
3489,4139
3489,58522
3489,31839
3489,15009
3489,15007
3489,15008
3489,15011
